,exp_pos,exp_neg,ctrl_pos,ctrl_neg
hela_1,1023,1633,124,2534
hela_2,833,1435,139,2129
hela_3,1709,2435,222,3923
hela_4,1667,2656,276,4050
hela_5,1513,2355,281,3588
hela_6,1135,1782,219,2705
hela_7,771,1133,135,1771
hela_8,1337,1980,103,3214
hela_9,1498,2329,312,3520
hela_10,1422,2348,359,3414
hek193_1,1305,1352,201,2456
hek193_2,1043,1223,184,2083
hek193_3,1829,2314,316,3828
hek193_4,2209,2122,444,3888
hek193_5,1981,1887,398,3470
hek193_6,1462,1460,271,2655
hek193_7,925,973,187,1712
hek193_8,1490,1820,233,3077
hek193_9,1946,1882,401,3431
hek193_10,2094,1691,446,3339
A549_1,1781,878,527,2133
A549_2,1515,754,535,1734
A549_3,3021,1122,757,3387
A549_4,2767,1566,1000,3333
A549_5,2455,1415,957,2913
A549_6,1931,994,594,2331
A549_7,1278,627,366,1539
A549_8,2375,941,513,2803
A549_9,2483,1349,922,2910
A549_10,2327,1452,988,2794
GSC_1,1466,1133,200,2430
GSC_2,1297,931,270,1974
GSC_3,2346,1733,466,3646
GSC_4,2435,1800,487,3801
GSC_5,2182,1620,509,3332
GSC_6,1607,1250,283,2603
GSC_7,1106,770,218,1679
GSC_8,1995,1287,326,2981
GSC_9,2157,1602,502,3303
GSC_10,2181,1545,527,3232
molm13_1,1156,1445,112,2489
molm13_2,1037,1212,110,2140
molm13_3,1742,2383,207,3919
molm13_4,2101,2153,245,4010
molm13_5,1854,1977,276,3557
molm13_6,1332,1561,176,2719
molm13_7,896,989,107,1778
molm13_8,1427,1859,146,3140
molm13_9,1862,1937,243,3557
molm13_10,1848,1876,252,3473
hepG2_1,1880,774,28,2627
hepG2_2,1585,683,24,2245
hepG2_3,2890,1246,35,4104
hepG2_4,2945,1386,51,4281
hepG2_5,2694,1121,49,3772
hepG2_6,2031,884,32,2884
hepG2_7,1311,592,37,1867
hepG2_8,2355,961,34,3283
hepG2_9,2665,1159,41,3784
hepG2_10,2615,1159,56,3721
EndoC_1,1232,1413,201,2446
EndoC_2,1112,1137,168,2089
EndoC_3,1984,2144,272,3861
EndoC_4,2140,2169,430,3889
EndoC_5,1889,1962,427,3435
EndoC_6,1348,1555,198,2714
EndoC_7,882,1009,170,1722
EndoC_8,1550,1747,193,3108
EndoC_9,1922,1887,419,3396
EndoC_10,1860,1913,495,3284
HEC-1-A_1,1140,1507,220,2430
HEC-1-A_2,959,1308,192,2076
HEC-1-A_3,1819,2324,406,3738
HEC-1-A_4,1983,2338,332,3994
HEC-1-A_5,1710,2141,367,3491
HEC-1-A_6,1277,1639,224,2692
HEC-1-A_7,847,1052,159,1740
HEC-1-A_8,1395,1914,322,2988
HEC-1-A_9,1582,2246,268,3560
HEC-1-A_10,1735,2038,389,3385
