,exp_pos,exp_neg,ctrl_pos,ctrl_neg
hela_1,1023,1633,1448,1154
hela_2,833,1435,1326,923
hela_3,1709,2435,1959,2167
hela_4,1667,2656,2752,1541
hela_5,1513,2355,2640,1179
hela_6,1135,1782,1689,1206
hela_7,771,1133,1142,755
hela_8,1337,1980,1680,1628
hela_9,1498,2329,2506,1298
hela_10,1422,2348,2697,1037
hek193_1,1305,1352,1357,1244
hek193_2,1043,1223,1241,1007
hek193_3,1829,2314,1956,2169
hek193_4,2209,2122,2522,1776
hek193_5,1981,1887,2464,1353
hek193_6,1462,1460,1590,1306
hek193_7,925,973,1028,862
hek193_8,1490,1820,1552,1749
hek193_9,1946,1882,2348,1456
hek193_10,2094,1691,2531,1214
A549_1,1781,878,1410,1194
A549_2,1515,754,1290,960
A549_3,3021,1122,1987,2138
A549_4,2767,1566,2635,1664
A549_5,2455,1415,2600,1219
A549_6,1931,994,1678,1217
A549_7,1278,627,1084,812
A549_8,2375,941,1641,1666
A549_9,2483,1349,2460,1344
A549_10,2327,1452,2675,1067
GSC_1,1466,1133,1261,1314
GSC_2,1297,931,1157,1069
GSC_3,2346,1733,1843,2250
GSC_4,2435,1800,2302,1953
GSC_5,2182,1620,2274,1519
GSC_6,1607,1250,1417,1440
GSC_7,1106,770,987,902
GSC_8,1995,1287,1488,1810
GSC_9,2157,1602,2133,1644
GSC_10,2181,1545,2277,1442
molm13_1,1156,1445,1341,1221
molm13_2,1037,1212,1284,948
molm13_3,1742,2383,2091,2018
molm13_4,2101,2153,2509,1730
molm13_5,1854,1977,2422,1362
molm13_6,1332,1561,1584,1286
molm13_7,896,989,1044,833
molm13_8,1427,1859,1670,1609
molm13_9,1862,1937,2236,1537
molm13_10,1848,1876,2305,1382
hepG2_1,1880,774,1488,1111
hepG2_2,1585,683,1292,958
hepG2_3,2890,1246,2164,1956
hepG2_4,2945,1386,2630,1669
hepG2_5,2694,1121,2498,1272
hepG2_6,2031,884,1672,1217
hepG2_7,1311,592,1091,804
hepG2_8,2355,961,1747,1561
hepG2_9,2665,1159,2436,1361
hepG2_10,2615,1159,2562,1175
EndoC_1,1232,1413,1261,1330
EndoC_2,1112,1137,1219,1019
EndoC_3,1984,2144,1820,2294
EndoC_4,2140,2169,2421,1864
EndoC_5,1889,1962,2419,1392
EndoC_6,1348,1555,1437,1446
EndoC_7,882,1009,966,918
EndoC_8,1550,1747,1421,1871
EndoC_9,1922,1887,2200,1587
EndoC_10,1860,1913,2444,1295
HEC-1-A_1,1140,1507,1055,1541
HEC-1-A_2,959,1308,949,1300
HEC-1-A_3,1819,2324,1586,2539
HEC-1-A_4,1983,2338,1880,2414
HEC-1-A_5,1710,2141,1874,1934
HEC-1-A_6,1277,1639,1159,1729
HEC-1-A_7,847,1052,813,1078
HEC-1-A_8,1395,1914,1257,2045
HEC-1-A_9,1582,2246,1680,2120
HEC-1-A_10,1735,2038,1890,1846
